/a X,/a Y,/b X,/b Y,/output X,/output Y
0,0,0,0,0,3.644899996390968e-08
5.859375e-14,0.000390625,5.859375e-14,0,5.859375e-14,1.007892860165201e-05
1.7578125e-13,0.001171875,1.7578125e-13,0,1.7578125e-13,3.171270177846947e-05
4.1015625e-13,0.002734375,4.1015625e-13,0,4.1015625e-13,6.802958931737427e-05
8.7890625e-13,0.005859375,8.7890625e-13,0,8.7890625e-13,0.0001154381803286784
1.81640625e-12,0.012109375,1.81640625e-12,0,1.81640625e-12,0.0001475091008965704
3.69140625e-12,0.024609375,3.69140625e-12,0,3.69140625e-12,0.0001475048950202459
7.44140625e-12,0.049609375,7.44140625e-12,0,7.44140625e-12,6.149763996107262e-06
1.494140625e-11,0.09960937499999999,1.494140625e-11,0,1.494140625e-11,4.764704323930559e-06
2.42303455172053e-11,0.1615356367813686,2.42303455172053e-11,0,2.42303455172053e-11,3.439796929125168e-06
4.28082240516159e-11,0.285388160344106,4.28082240516159e-11,0,4.28082240516159e-11,4.977305627500282e-06
7.99639811204371e-11,0.5330932074695807,7.99639811204371e-11,0,7.99639811204371e-11,-9.390780976946504e-06
1.006671592566314e-10,0.6711143950442091,1.006671592566314e-10,0,1.006671592566314e-10,-4.383624771489203e-05
1.236089300924445e-10,0.8240595339496303,1.236089300924445e-10,0,1.236089300924445e-10,-2.130295864171653e-05
1.368044650462223e-10,0.912029766974815,1.368044650462223e-10,0,1.368044650462223e-10,-2.043550788463759e-05
1.5e-10,1,1.5e-10,0,1.5e-10,6.319829092861767e-06
1.502690927786865e-10,1,1.502690927786865e-10,0,1.502690927786865e-10,-2.591369891081011e-05
1.508072783360594e-10,1,1.508072783360594e-10,0,1.508072783360594e-10,-7.308075345537854e-05
1.518836494508052e-10,1,1.518836494508052e-10,0,1.518836494508052e-10,-9.67682542528876e-05
1.540363916802969e-10,1,1.540363916802969e-10,0,1.540363916802969e-10,-5.246946357031018e-05
1.583418761392802e-10,1,1.583418761392802e-10,0,1.583418761392802e-10,2.831235611788552e-05
1.66952845057247e-10,1,1.66952845057247e-10,0,1.66952845057247e-10,3.783998330414037e-05
1.776584547516369e-10,1,1.776584547516369e-10,0,1.776584547516369e-10,1.720336169778873e-05
1.915767251401604e-10,1,1.915767251401604e-10,0,1.915767251401604e-10,8.468735378033845e-06
2.090676075821097e-10,1,2.090676075821097e-10,0,2.090676075821097e-10,4.373072933523289e-06
2.32459125685759e-10,1,2.32459125685759e-10,0,2.32459125685759e-10,2.506431241327222e-06
2.638004312791294e-10,1,2.638004312791294e-10,0,2.638004312791294e-10,1.245825214150513e-06
3.055394501467077e-10,1,3.055394501467077e-10,0,3.055394501467077e-10,8.378480033752789e-07
3.608898656680075e-10,1,3.608898656680075e-10,0,3.608898656680075e-10,3.968633183567301e-07
4.346770983451334e-10,1,4.346770983451334e-10,0,4.346770983451334e-10,3.807634113136776e-07
5.335848718430165e-10,1,5.335848718430165e-10,0,5.335848718430165e-10,1.696464988951081e-07
6.66776653425191e-10,1,6.66776653425191e-10,0,6.66776653425191e-10,2.544547460790566e-07
8.467534528083775e-10,1,8.467534528083775e-10,0,8.467534528083775e-10,1.103675284299337e-07
1.09082565979331e-09,1,1.09082565979331e-09,0,1.09082565979331e-09,2.198783531037627e-07
1.422985433028656e-09,1,1.422985433028656e-09,0,1.422985433028656e-09,9.603557579776199e-08
1.876500893391367e-09,1,1.876500893391367e-09,0,1.876500893391367e-09,2.105436946160031e-07
2.497442262191215e-09,1,2.497442262191215e-09,0,2.497442262191215e-09,9.315213236525312e-08
3.349705532999872e-09,1,3.349705532999872e-09,0,3.349705532999872e-09,2.080674422607406e-07
4.521960881232503e-09,1,4.521960881232503e-09,0,4.521960881232503e-09,9.290771068849496e-08
5.721960881232503e-09,1,5.721960881232503e-09,0,5.721960881232503e-09,2.073762169858884e-07
6.610980440616251e-09,1,6.610980440616251e-09,0,6.610980440616251e-09,9.336654945346959e-08
7.499999999999999e-09,1,7.499999999999999e-09,0,7.499999999999999e-09,2.067806879340202e-07
7.500585937499999e-09,0.9960937500000024,7.500585937499999e-09,0,7.500585937499999e-09,-5.371038203718897e-05
7.501757812499998e-09,0.9882812500000074,7.501757812499998e-09,0,7.501757812499998e-09,-0.0001137483086292605
7.504101562499997e-09,0.9726562500000172,7.504101562499997e-09,0,7.504101562499997e-09,-9.81905913220145e-05
7.508789062499994e-09,0.941406250000037,7.508789062499994e-09,0,7.508789062499994e-09,-2.744204293392662e-05
7.518164062499988e-09,0.8789062500000764,7.518164062499988e-09,0,7.518164062499988e-09,1.972094513621146e-06
7.532653802866627e-09,0.782307980889151,7.532653802866627e-09,0,7.532653802866627e-09,-1.019719890753236e-06
7.55644771037016e-09,0.6236819308655939,7.55644771037016e-09,0,7.55644771037016e-09,-2.118499337410242e-07
7.604035525377227e-09,0.3064298308184795,7.604035525377227e-09,0,7.604035525377227e-09,-4.858571889695891e-06
7.649999999999999e-09,0,7.649999999999999e-09,0,7.649999999999999e-09,8.316137937278305e-06
7.65143638983196e-09,0,7.65143638983196e-09,0,7.65143638983196e-09,0.0001036031242070627
7.654309169495883e-09,0,7.654309169495883e-09,0,7.654309169495883e-09,0.0001281775542742106
7.660054728823729e-09,0,7.660054728823729e-09,0,7.660054728823729e-09,-1.443526298908022e-07
7.671373666248559e-09,0,7.671373666248559e-09,0,7.671373666248559e-09,-1.961757208370455e-06
7.683935824475378e-09,0,7.683935824475378e-09,0,7.683935824475378e-09,1.3075039155397e-06
7.708806357425807e-09,0,7.708806357425807e-09,0,7.708806357425807e-09,-1.399113794448556e-06
7.758547423326665e-09,0,7.758547423326665e-09,0,7.758547423326665e-09,1.485276695962326e-06
7.858029555128381e-09,0,7.858029555128381e-09,0,7.858029555128381e-09,-1.407171043823341e-06
8.056993818731813e-09,0,8.056993818731813e-09,0,8.056993818731813e-09,1.47509561229815e-06
8.454922345938677e-09,0,8.454922345938677e-09,0,8.454922345938677e-09,-1.399105682827915e-06
9.250779400352404e-09,0,9.250779400352404e-09,0,9.250779400352404e-09,1.470382880292016e-06
1e-08,0,1e-08,0,1e-08,-1.395593870459061e-06
1.00015625e-08,0,1.00015625e-08,0.01562500000000117,1.00015625e-08,0.0001277120541620199
1.00046875e-08,0,1.00046875e-08,0.04687500000000352,1.00046875e-08,0.0001488919450425624
1.00109375e-08,0,1.00109375e-08,0.1093750000000082,1.00109375e-08,-2.232867776336382e-05
1.002138162580588e-08,0,1.002138162580588e-08,0.2138162580587604,1.002138162580588e-08,2.351331271860598e-05
1.003289073111194e-08,0,1.003289073111194e-08,0.3289073111193798,1.003289073111194e-08,2.002787245978556e-06
1.00395518458191e-08,0,1.00395518458191e-08,0.3955184581909925,1.00395518458191e-08,3.969165172351357e-06
1.004672518680888e-08,0,1.004672518680888e-08,0.4672518680887842,1.004672518680888e-08,-1.080060981067638e-05
1.005284161689571e-08,0,1.005284161689571e-08,0.5284161689571129,1.005284161689571e-08,-2.121013141571903e-05
1.005967196498905e-08,0,1.005967196498905e-08,0.5967196498904609,1.005967196498905e-08,-1.925849963417079e-05
1.006491106455233e-08,0,1.006491106455233e-08,0.6491106455233194,1.006491106455233e-08,-1.06353308064145e-05
1.006992701813633e-08,0,1.006992701813633e-08,0.6992701813633183,1.006992701813633e-08,-6.003430780578413e-06
1.007173837807282e-08,0,1.007173837807282e-08,0.7173837807282326,1.007173837807282e-08,-4.404969298493807e-06
1.007388817163293e-08,0,1.007388817163293e-08,0.7388817163292479,1.007388817163293e-08,-3.286358940063367e-06
1.007632902395207e-08,0,1.007632902395207e-08,0.7632902395207423,1.007632902395207e-08,-2.365212636798187e-06
1.007828970399314e-08,0,1.007828970399314e-08,0.7828970399313877,1.007828970399314e-08,-1.852313253013765e-06
1.00804825101451e-08,0,1.00804825101451e-08,0.8048251014509857,1.00804825101451e-08,-1.428407910074017e-06
1.008277756842793e-08,0,1.008277756842793e-08,0.8277756842793221,1.008277756842793e-08,-1.157390568968038e-06
1.00856771774843e-08,0,1.00856771774843e-08,0.8567717748429716,1.00856771774843e-08,-9.501315577456198e-07
1.008936258504515e-08,0,1.008936258504515e-08,0.8936258504515168,1.008936258504515e-08,-8.94415796717577e-07
1.009427543428418e-08,0,1.009427543428418e-08,0.9427543428418379,1.009427543428418e-08,-9.887784380076416e-07
1.01e-08,0,1.01e-08,0.9999999999999923,1.01e-08,-1.294269707233934e-06
1.010017889267862e-08,0,1.010017889267862e-08,1,1.010017889267862e-08,-2.634584052175279e-05
1.010053667803586e-08,0,1.010053667803586e-08,1,1.010053667803586e-08,-6.835079478894511e-05
1.010125224875033e-08,0,1.010125224875033e-08,1,1.010125224875033e-08,-0.0001121910231332904
1.010268339017928e-08,0,1.010268339017928e-08,1,1.010268339017928e-08,-0.0001210429031397799
1.010554567303717e-08,0,1.010554567303717e-08,1,1.010554567303717e-08,-6.741870146485355e-05
1.01099376523127e-08,0,1.01099376523127e-08,1,1.01099376523127e-08,-1.517103559053367e-05
1.0116567318888e-08,0,1.0116567318888e-08,1,1.0116567318888e-08,-9.258515448333469e-07
1.012865630466847e-08,0,1.012865630466847e-08,1,1.012865630466847e-08,4.008257730169184e-07
1.01528342762294e-08,0,1.01528342762294e-08,1,1.01528342762294e-08,-2.177556557747432e-07
1.020119021935126e-08,0,1.020119021935126e-08,1,1.020119021935126e-08,2.492023351143323e-07
1.029790210559497e-08,0,1.029790210559497e-08,1,1.029790210559497e-08,-1.62571474187062e-07
1.049132587808241e-08,0,1.049132587808241e-08,1,1.049132587808241e-08,2.252646037512544e-07
1.087817342305728e-08,0,1.087817342305728e-08,1,1.087817342305728e-08,-1.513845528191357e-07
1.165186851300703e-08,0,1.165186851300703e-08,1,1.165186851300703e-08,2.198526291593855e-07
1.285186851300703e-08,0,1.285186851300703e-08,1,1.285186851300703e-08,-1.484681395420419e-07
1.405186851300703e-08,0,1.405186851300703e-08,1,1.405186851300703e-08,2.175903445803831e-07
1.5e-08,0,1.5e-08,1,1.5e-08,-1.4592937311224e-07
1.50015625e-08,0.01041666666666745,1.50015625e-08,0.9843750000000236,1.50015625e-08,8.002892883672875e-05
1.50046875e-08,0.03125000000000235,1.50046875e-08,0.9531250000000213,1.50046875e-08,9.555729473437577e-05
1.50109375e-08,0.07291666666667214,1.50109375e-08,0.8906250000000167,1.50109375e-08,1.346625232897624e-05
1.501923402233696e-08,0.1282268155797363,1.501923402233696e-08,0.8076597766304203,1.501923402233696e-08,7.871279749524919e-06
1.502954185901356e-08,0.1969457267570675,1.502954185901356e-08,0.7045814098644235,1.502954185901356e-08,1.09021948207503e-05
1.505015753236676e-08,0.3343835491117299,1.505015753236676e-08,0.49842467633243,1.505015753236676e-08,-1.68504011246607e-05
1.505638784082091e-08,0.3759189388061005,1.505638784082091e-08,0.4361215917908741,1.505638784082091e-08,-0.0001148492588467463
1.506884845772922e-08,0.4589897181948417,1.506884845772922e-08,0.3115154227077623,1.506884845772922e-08,-0.0001640521229351849
1.508064604510303e-08,0.5376403006868948,1.508064604510303e-08,0.1935395489696826,1.508064604510303e-08,-0.0001170767998465237
1.509032302255152e-08,0.6021534836767838,1.509032302255152e-08,0.09676977448484925,1.509032302255152e-08,6.122120936799712e-06
1.51e-08,0.6666666666666947,1.51e-08,0,1.51e-08,2.462906495845569e-05
1.510089442358277e-08,0.6726294905518342,1.510089442358277e-08,0,1.510089442358277e-08,0.0001690443027383467
1.510268327074832e-08,0.6845551383221133,1.510268327074832e-08,0,1.510268327074832e-08,0.000298756677467001
1.510584520079368e-08,0.7056346719578523,1.510584520079368e-08,0,1.510584520079368e-08,0.0001977708031858849
1.51121690608844e-08,0.7477937392293306,1.51121690608844e-08,0,1.51121690608844e-08,4.327586473309368e-05
1.512079793497199e-08,0.8053195664799351,1.512079793497199e-08,0,1.512079793497199e-08,7.48207262757158e-06
1.513350141572285e-08,0.8900094381523346,1.513350141572285e-08,0,1.513350141572285e-08,7.55450293868392e-06
1.515e-08,1,1.515e-08,0,1.515e-08,1.671395478751762e-06
1.515206232303464e-08,1,1.515206232303464e-08,0,1.515206232303464e-08,-5.223711693854991e-05
1.515618696910393e-08,1,1.515618696910393e-08,0,1.515618696910393e-08,-3.377362805813871e-05
1.516152956553047e-08,1,1.516152956553047e-08,0,1.516152956553047e-08,5.716277045072322e-05
1.517221475838353e-08,1,1.517221475838353e-08,0,1.517221475838353e-08,1.798041665412224e-05
1.518352032643573e-08,1,1.518352032643573e-08,0,1.518352032643573e-08,1.777769136902503e-05
1.519927255257215e-08,1,1.519927255257215e-08,0,1.519927255257215e-08,2.74483577903234e-06
1.521859931519755e-08,1,1.521859931519755e-08,0,1.521859931519755e-08,5.997865396781644e-06
1.524549668243224e-08,1,1.524549668243224e-08,0,1.524549668243224e-08,-3.239649444072319e-07
1.528087724669819e-08,1,1.528087724669819e-08,0,1.528087724669819e-08,2.830473669916907e-06
1.532817538410477e-08,1,1.532817538410477e-08,0,1.532817538410477e-08,-1.138569242587073e-06
1.539073166810993e-08,1,1.539073166810993e-08,0,1.539073166810993e-08,1.872846694191055e-06
1.547452904738204e-08,1,1.547452904738204e-08,0,1.547452904738204e-08,-1.269378861227547e-06
1.558701173619809e-08,1,1.558701173619809e-08,0,1.558701173619809e-08,1.543861509662015e-06
1.57387929327824e-08,1,1.57387929327824e-08,0,1.57387929327824e-08,-1.256935272005119e-06
1.59441561559062e-08,1,1.59441561559062e-08,0,1.59441561559062e-08,1.418833383154748e-06
1.622312141936415e-08,1,1.622312141936415e-08,0,1.622312141936415e-08,-1.227188831065917e-06
1.660333319887556e-08,1,1.660333319887556e-08,0,1.660333319887556e-08,1.366261564777856e-06
1.712314089202211e-08,1,1.712314089202211e-08,0,1.712314089202211e-08,-1.205021071300242e-06
1.783567472150571e-08,1,1.783567472150571e-08,0,1.783567472150571e-08,1.342233126297307e-06
1.881460860743369e-08,1,1.881460860743369e-08,0,1.881460860743369e-08,-1.191576531988653e-06
2e-08,1,2e-08,0,2e-08,1.329998227478699e-06
2.00015625e-08,1,2.00015625e-08,0.01562500000000117,2.00015625e-08,0.0001860405195853875
2.00046875e-08,1,2.00046875e-08,0.04687500000000352,2.00046875e-08,0.0002618080979326897
2.00109375e-08,1,2.00109375e-08,0.1093750000000082,2.00109375e-08,4.737197658084832e-05
2.002322219446475e-08,1,2.002322219446475e-08,0.2322219446475314,2.002322219446475e-08,5.519129719650895e-05
2.003448883574733e-08,1,2.003448883574733e-08,0.3448883574733063,2.003448883574733e-08,0.0001119101063671173
2.004201909047505e-08,1,2.004201909047505e-08,0.4201909047505407,2.004201909047505e-08,0.0001768051926614882
2.004793916127958e-08,1,2.004793916127958e-08,0.4793916127957492,2.004793916127958e-08,0.0002282120944259443
2.005356248795901e-08,1,2.005356248795901e-08,0.5356248795900928,2.005356248795901e-08,0.0002562270105382583
2.00597572367853e-08,1,2.00597572367853e-08,0.5975723678530143,2.00597572367853e-08,0.0002594693009216338
2.006478150248562e-08,1,2.006478150248562e-08,0.6478150248562058,2.006478150248562e-08,0.0001827752326353476
2.007024110404956e-08,1,2.007024110404956e-08,0.702411040495577,2.007024110404956e-08,-0.0009897489332704175
2.007430911547401e-08,1,2.007430911547401e-08,0.7430911547401359,2.007430911547401e-08,-0.003853045420418037
2.007749893539365e-08,1,2.007749893539365e-08,0.7749893539365205,2.007749893539365e-08,-0.006989855104213243
2.008195023351604e-08,1,2.008195023351604e-08,0.8195023351603924,2.008195023351604e-08,-0.01235209811842509
2.00852813203904e-08,1,2.00852813203904e-08,0.8528132039039825,2.00852813203904e-08,-0.01909496063243617
2.008980141863835e-08,1,2.008980141863835e-08,0.8980141863835024,2.008980141863835e-08,-0.03893944684551572
2.009298897423334e-08,1,2.009298897423334e-08,0.9298897423334315,2.009298897423334e-08,-0.05610658862747604
2.009506920413296e-08,1,2.009506920413296e-08,0.9506920413295573,2.009506920413296e-08,-0.05055032150449834
2.009751030505831e-08,1,2.009751030505831e-08,0.9751030505830508,2.009751030505831e-08,0.01415373486913838
2.009875515252915e-08,1,2.009875515252915e-08,0.9875515252915134,2.009875515252915e-08,0.0808815541938345
2.01e-08,1,2.01e-08,1,2.01e-08,0.1696023247802322
2.010000972537087e-08,1,2.010000972537087e-08,1,2.010000972537087e-08,0.1703752973940114
2.01000291761126e-08,1,2.01000291761126e-08,1,2.01000291761126e-08,0.1719227450972672
2.010006807759606e-08,1,2.010006807759606e-08,1,2.010006807759606e-08,0.1750309158090468
2.010008752833779e-08,1,2.010008752833779e-08,1,2.010008752833779e-08,0.1765919223576533
2.010012642982125e-08,1,2.010012642982125e-08,1,2.010012642982125e-08,0.1797277412893678
2.010020423278817e-08,1,2.010020423278817e-08,1,2.010020423278817e-08,0.1860535080745406
2.010035983872201e-08,1,2.010035983872201e-08,1,2.010035983872201e-08,0.1989185589244676
2.010067105058968e-08,1,2.010067105058968e-08,1,2.010067105058968e-08,0.2254697872859618
2.010129347432504e-08,1,2.010129347432504e-08,1,2.010129347432504e-08,0.2815753632682508
2.010253832179576e-08,1,2.010253832179576e-08,1,2.010253832179576e-08,0.4032977023007275
2.010424717555646e-08,1,2.010424717555646e-08,1,2.010424717555646e-08,0.5815327172321152
2.01059196094255e-08,1,2.01059196094255e-08,1,2.01059196094255e-08,0.751001965282618
2.010746564310242e-08,1,2.010746564310242e-08,1,2.010746564310242e-08,0.8733791389931401
2.010872981366977e-08,1,2.010872981366977e-08,1,2.010872981366977e-08,0.9286492007029363
2.01099752668324e-08,1,2.01099752668324e-08,1,2.01099752668324e-08,0.9557594170143562
2.011134831838394e-08,1,2.011134831838394e-08,1,2.011134831838394e-08,0.9722121352630374
2.011258904361702e-08,1,2.011258904361702e-08,1,2.011258904361702e-08,0.9810785704442709
2.011430387507116e-08,1,2.011430387507116e-08,1,2.011430387507116e-08,0.9882838997611265
2.011662416026626e-08,1,2.011662416026626e-08,1,2.011662416026626e-08,0.9933330713214875
2.011959851251553e-08,1,2.011959851251553e-08,1,2.011959851251553e-08,0.9963508003220564
2.012353782278565e-08,1,2.012353782278565e-08,1,2.012353782278565e-08,0.9981584445015862
2.01290087462235e-08,1,2.01290087462235e-08,1,2.01290087462235e-08,0.9992308661680414
2.013549268414366e-08,1,2.013549268414366e-08,1,2.013549268414366e-08,0.9997405507849796
2.014330852982981e-08,1,2.014330852982981e-08,1,2.014330852982981e-08,0.9999344973808557
2.01532879695007e-08,1,2.01532879695007e-08,1,2.01532879695007e-08,0.9999910300423642
2.016750565230806e-08,1,2.016750565230806e-08,1,2.016750565230806e-08,1.000000463016352
2.019008608603268e-08,1,2.019008608603268e-08,1,2.019008608603268e-08,0.99999966166014
2.023246866355454e-08,1,2.023246866355454e-08,1,2.023246866355454e-08,1.000000171253237
2.031723381859826e-08,1,2.031723381859826e-08,1,2.031723381859826e-08,0.9999997714924778
2.04867641286857e-08,1,2.04867641286857e-08,1,2.04867641286857e-08,1.000000138924283
2.082582474886059e-08,1,2.082582474886059e-08,1,2.082582474886059e-08,0.9999997839907077
2.150394598921036e-08,1,2.150394598921036e-08,1,2.150394598921036e-08,1.000000133424995
2.25e-08,1,2.25e-08,1,2.25e-08,0.9999997868682589
2.25005859375e-08,0.9960937499999805,2.25005859375e-08,1,2.25005859375e-08,0.9998773532979921
2.25017578125e-08,0.9882812499999633,2.25017578125e-08,1,2.25017578125e-08,0.9996998039180363
2.250410156250001e-08,0.9726562499999291,2.250410156250001e-08,1,2.250410156250001e-08,0.9996156491659964
2.250878906250002e-08,0.9414062499998604,2.250878906250002e-08,1,2.250878906250002e-08,0.9997315765245762
2.251591034720561e-08,0.8939310186292744,2.251591034720561e-08,1,2.251591034720561e-08,0.99994436260007
2.252740421910276e-08,0.8173052059815835,2.252740421910276e-08,1,2.252740421910276e-08,0.9999460842789468
2.254278750849646e-08,0.7147499433569158,2.254278750849646e-08,1,2.254278750849646e-08,0.9999485179282115
2.256710926580495e-08,0.5526048946336621,2.256710926580495e-08,1,2.256710926580495e-08,1.000011265917675
2.257705366985744e-08,0.4863088676170374,2.257705366985744e-08,1,2.257705366985744e-08,1.000599791264373
2.258463101179693e-08,0.4357932546871386,2.258463101179693e-08,1,2.258463101179693e-08,1.001864887750657
2.259509303004593e-08,0.3660464663604253,2.259509303004593e-08,1,2.259509303004593e-08,1.006163087267265
2.260253827306394e-08,0.3164115129070795,2.260253827306394e-08,1,2.260253827306394e-08,1.012657635285531
2.261048704399364e-08,0.2634197067090381,2.261048704399364e-08,1,2.261048704399364e-08,1.032520513838667
